Journal,,,,,,,,
Sandbox Company_US_2,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,

,Transaction date,Transaction type,Num,Name,Memo/Description,Full name,Debit,Credit
Total for 3428,,,,,,,$39.36,$39.36
3441,,,,,,,,
,08/30/2024,Payment,,"Kiehn, Franecki and Nicolas",,Undeposited Funds,172.94,
,08/30/2024,Payment,,"Kiehn, Franecki and Nicolas",,Accounts Receivable (A/R),,172.94
Total for 3441,,,,,,,$172.94,$172.94
3373,,,,,,,,
,08/31/2024,Invoice,2027,Ortiz-Rogahn,,Accounts Receivable (A/R),400.00,
,08/31/2024,Invoice,2027,Ortiz-Rogahn,,Landscaping Services,0.00,
,08/31/2024,Invoice,2027,Ortiz-Rogahn,,Landscaping Services:Labor:Installation,,400.00
,08/31/2024,Invoice,2027,Ortiz-Rogahn,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 3373,,,,,,,$400.00,$400.00
3419,,,,,,,,
,08/31/2024,Expense,,,,Checking,,"1,158.86"
,08/31/2024,Expense,,,,Automobile:Fuel,"1,158.86",
Total for 3419,,,,,,,"$1,158.86","$1,158.86"
3479,,,,,,,,
,08/31/2024,Journal Entry,,,,Equipment Rental,"1,436.96",
,08/31/2024,Journal Entry,,,,Checking,,"1,436.96"
Total for 3479,,,,,,,"$1,436.96","$1,436.96"
3515,,,,,,,,
,09/01/2024,Sales Receipt,2086,Lind-Willms,,Undeposited Funds,0.00,
,09/01/2024,Sales Receipt,2086,Lind-Willms,,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 3515,,,,,,,$0.00,
3535,,,,,,,,
,09/01/2024,Bill,,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),,"1,057.42"
,09/01/2024,Bill,,"Yundt, Torp and Stoltenberg",,Supplies,"1,057.42",
Total for 3535,,,,,,,"$1,057.42","$1,057.42"
3538,,,,,,,,
,09/01/2024,Expense,,,,Savings,,376.52
,09/01/2024,Expense,,,,Miscellaneous,376.52,
Total for 3538,,,,,,,$376.52,$376.52
3561,,,,,,,,
,09/01/2024,Payment,,"Langworth, Nolan and Harris",,Undeposited Funds,854.72,
,09/01/2024,Payment,,"Langworth, Nolan and Harris",,Accounts Receivable (A/R),,854.72
Total for 3561,,,,,,,$854.72,$854.72
3562,,,,,,,,
,09/01/2024,Payment,,Ebert-Krajcik,,Undeposited Funds,10.00,
,09/01/2024,Payment,,Ebert-Krajcik,,Accounts Receivable (A/R),,10.00
Total for 3562,,,,,,,$10.00,$10.00
3571,,,,,,,,
,09/01/2024,Payment,,Ebert-Krajcik,,Undeposited Funds,60.00,
,09/01/2024,Payment,,Ebert-Krajcik,,Accounts Receivable (A/R),,60.00
Total for 3571,,,,,,,$60.00,$60.00
3591,,,,,,,,
,09/01/2024,Deposit,,,,Savings,"3,571.11",
,09/01/2024,Deposit,,,,Landscaping Services:Job Materials:Fountains and Garden Lighting,,"3,571.11"
Total for 3591,,,,,,,"$3,571.11","$3,571.11"
3482,,,,,,,,
,09/02/2024,Invoice,2055,"Lehner, Hane and Borer",,Accounts Receivable (A/R),170.00,
,09/02/2024,Invoice,2055,"Lehner, Hane and Borer",,Pest Control Services,,70.00
,09/02/2024,Invoice,2055,"Lehner, Hane and Borer",,Landscaping Services:Labor:Installation,,100.00
Total for 3482,,,,,,,$170.00,$170.00
3483,,,,,,,,
,09/02/2024,Invoice,2056,Morar-Ernser,,Accounts Receivable (A/R),695.00,
,09/02/2024,Invoice,2056,Morar-Ernser,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,09/02/2024,Invoice,2056,Morar-Ernser,,Pest Control Services,,245.00
,09/02/2024,Invoice,2056,Morar-Ernser,,Design income,,450.00
Total for 3483,,,,,,,$695.00,$695.00
3487,,,,,,,,
,09/03/2024,Invoice,2059,"Lindgren, Wiegand and White",,Accounts Receivable (A/R),105.00,
,09/03/2024,Invoice,2059,"Lindgren, Wiegand and White",,Landscaping Services,,105.00
,09/03/2024,Invoice,2059,"Lindgren, Wiegand and White",,Other Income,0.00,
Total for 3487,,,,,,,$105.00,$105.00
3490,,,,,,,,
,09/03/2024,Invoice,2062,"Wehner, O'Conner and Bashirian",,Accounts Receivable (A/R),245.00,
,09/03/2024,Invoice,2062,"Wehner, O'Conner and Bashirian",,Pest Control Services,,245.00
Total for 3490,,,,,,,$245.00,$245.00
3532,,,,,,,,
,09/03/2024,Bill,,Moore Group,,Accounts Payable (A/P),,"2,300.56"
,09/03/2024,Bill,,Moore Group,,Purchases,"2,300.56",
Total for 3532,,,,,,,"$2,300.56","$2,300.56"
3533,,,,,,,,
,09/03/2024,Bill,,Murray Group,,Accounts Payable (A/P),,527.98
,09/03/2024,Bill,,Murray Group,,Miscellaneous,527.98,
Total for 3533,,,,,,,$527.98,$527.98
3598,,,,,,,,
,09/03/2024,Journal Entry,,,,Travel,687.53,
,09/03/2024,Journal Entry,,,,Checking,,687.53
Total for 3598,,,,,,,$687.53,$687.53
3488,,,,,,,,
,09/04/2024,Invoice,2060,Leuschke-Ernser,,Accounts Receivable (A/R),0.00,
,09/04/2024,Invoice,2060,Leuschke-Ernser,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 3488,,,,,,,$0.00,
3502,,,,,,,,
,09/04/2024,Invoice,2074,"Crooks, Pollich and Mertz",,Accounts Receivable (A/R),625.00,
,09/04/2024,Invoice,2074,"Crooks, Pollich and Mertz",,Landscaping Services:Job Materials:Plants and Soil,,100.00
,09/04/2024,Invoice,2074,"Crooks, Pollich and Mertz",,Landscaping Services,0.00,
,09/04/2024,Invoice,2074,"Crooks, Pollich and Mertz",,Design income,,525.00
Total for 3502,,,,,,,$625.00,$625.00
3508,,,,,,,,
,09/04/2024,Sales Receipt,2079,Huel-Botsford,,Undeposited Funds,75.00,
,09/04/2024,Sales Receipt,2079,Huel-Botsford,,Design income,,75.00
Total for 3508,,,,,,,$75.00,$75.00
3560,,,,,,,,
,09/05/2024,Payment,,Mayert-Lehner,,Undeposited Funds,70.00,
,09/05/2024,Payment,,Mayert-Lehner,,Accounts Receivable (A/R),,70.00
Total for 3560,,,,,,,$70.00,$70.00
3587,,,,,,,,
,09/05/2024,Vendor Credit,,Hirthe-West,,Accounts Payable (A/P),240.31,
,09/05/2024,Vendor Credit,,Hirthe-West,,Stationery & Printing,,240.31
Total for 3587,,,,,,,$240.31,$240.31
3599,,,,,,,,
,09/05/2024,Journal Entry,,,,Purchases,287.97,
,09/05/2024,Journal Entry,,,,Checking,,287.97
Total for 3599,,,,,,,$287.97,$287.97
3499,,,,,,,,
,09/06/2024,Invoice,2071,Bergstrom LLC,,Accounts Receivable (A/R),0.00,
,09/06/2024,Invoice,2071,Bergstrom LLC,,Other Income,0.00,
,09/06/2024,Invoice,2071,Bergstrom LLC,,Other Income,0.00,
,09/06/2024,Invoice,2071,Bergstrom LLC,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 3499,,,,,,,$0.00,
3541,,,,,,,,
,09/06/2024,Expense,,,,Savings,,"1,087.77"
,09/06/2024,Expense,,,,Advertising,"1,087.77",
Total for 3541,,,,,,,"$1,087.77","$1,087.77"
3545,,,,,,,,
,09/06/2024,Expense,,,,Savings,,35.14
,09/06/2024,Expense,,,,Advertising,35.14,
Total for 3545,,,,,,,$35.14,$35.14
3558,,,,,,,,
,09/06/2024,Payment,,Huels Group,,Undeposited Funds,543.87,
,09/06/2024,Payment,,Huels Group,,Accounts Receivable (A/R),,543.87
Total for 3558,,,,,,,$543.87,$543.87
3573,,,,,,,,
,09/06/2024,Bill Payment (Check),,Hirthe-West,,Savings,,"1,606.19"
,09/06/2024,Bill Payment (Check),,Hirthe-West,,Accounts Payable (A/P),"1,606.19",
Total for 3573,,,,,,,"$1,606.19","$1,606.19"
3585,,,,,,,,
,09/06/2024,Credit Memo,2090,Rice-Block,,Accounts Receivable (A/R),0.00,
,09/06/2024,Credit Memo,2090,Rice-Block,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 3585,,,,,,,$0.00,
3589,,,,,,,,
,09/06/2024,Deposit,,,,Checking,"7,846.57",
,09/06/2024,Deposit,,,,Landscaping Services:Job Materials:Sprinklers and Drip Systems,,"7,846.57"
Total for 3589,,,,,,,"$7,846.57","$7,846.57"
3495,,,,,,,,
,09/07/2024,Invoice,2067,"Auer, Keeling and Steuber",,Accounts Receivable (A/R),140.00,
,09/07/2024,Invoice,2067,"Auer, Keeling and Steuber",,Landscaping Services,0.00,
,09/07/2024,Invoice,2067,"Auer, Keeling and Steuber",,Services,0.00,
,09/07/2024,Invoice,2067,"Auer, Keeling and Steuber",,Landscaping Services,,140.00
Total for 3495,,,,,,,$140.00,$140.00
3497,,,,,,,,
,09/07/2024,Invoice,2069,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),70.00,
,09/07/2024,Invoice,2069,"Lynch, Ziemann and Wehner",,Pest Control Services,,70.00
Total for 3497,,,,,,,$70.00,$70.00
3507,,,,,,,,
,09/07/2024,Sales Receipt,2078,Bergstrom LLC,,Undeposited Funds,75.00,
,09/07/2024,Sales Receipt,2078,Bergstrom LLC,,Design income,,75.00
Total for 3507,,,,,,,$75.00,$75.00
3539,,,,,,,,
,09/07/2024,Expense,,,,Checking,,36.92
,09/07/2024,Expense,,,,Unapplied Cash Bill Payment Expense,36.92,
Total for 3539,,,,,,,$36.92,$36.92
3564,,,,,,,,
,09/07/2024,Payment,,"Glover, Bode and Raynor",,Undeposited Funds,957.92,
,09/07/2024,Payment,,"Glover, Bode and Raynor",,Accounts Receivable (A/R),,957.92
Total for 3564,,,,,,,$957.92,$957.92
3581,,,,,,,,
,09/07/2024,Bill Payment (Check),,Moore Group,,Savings,,340.33
,09/07/2024,Bill Payment (Check),,Moore Group,,Accounts Payable (A/P),340.33,
Total for 3581,,,,,,,$340.33,$340.33
3489,,,,,,,,
,09/08/2024,Invoice,2061,Ebert-Krajcik,,Accounts Receivable (A/R),475.00,
,09/08/2024,Invoice,2061,Ebert-Krajcik,,Pest Control Services,,175.00
,09/08/2024,Invoice,2061,Ebert-Krajcik,,Design income,,300.00
Total for 3489,,,,,,,$475.00,$475.00
3505,,,,,,,,
,09/09/2024,Invoice,2076,Greenholt-Cassin,,Accounts Receivable (A/R),350.00,
,09/09/2024,Invoice,2076,Greenholt-Cassin,,Other Income,0.00,
,09/09/2024,Invoice,2076,Greenholt-Cassin,,Landscaping Services:Labor:Installation,,350.00
,09/09/2024,Invoice,2076,Greenholt-Cassin,,Landscaping Services,0.00,
Total for 3505,,,,,,,$350.00,$350.00
3525,,,,,,,,
,09/09/2024,Bill,,Gislason LLC,,Accounts Payable (A/P),,282.24
,09/09/2024,Bill,,Gislason LLC,,Job Expenses,282.24,
Total for 3525,,,,,,,$282.24,$282.24
3534,,,,,,,,
,09/09/2024,Bill,,Gislason LLC,,Accounts Payable (A/P),,355.69
,09/09/2024,Bill,,Gislason LLC,,Legal & Professional Fees:Accounting,355.69,
Total for 3534,,,,,,,$355.69,$355.69
3542,,,,,,,,
,09/09/2024,Expense,,,,Checking,,"2,674.88"
,09/09/2024,Expense,,,,Job Expenses:Job Materials:Plants and Soil,"2,674.88",
Total for 3542,,,,,,,"$2,674.88","$2,674.88"
3493,,,,,,,,
,09/10/2024,Invoice,2065,Watsica-Gottlieb,,Accounts Receivable (A/R),280.00,
,09/10/2024,Invoice,2065,Watsica-Gottlieb,,Landscaping Services,,280.00
Total for 3493,,,,,,,$280.00,$280.00
3500,,,,,,,,
,09/10/2024,Invoice,2072,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),300.00,
,09/10/2024,Invoice,2072,"Mohr, Haag and Labadie",,Design income,,300.00
,09/10/2024,Invoice,2072,"Mohr, Haag and Labadie",,Landscaping Services,0.00,
,09/10/2024,Invoice,2072,"Mohr, Haag and Labadie",,Services,0.00,
Total for 3500,,,,,,,$300.00,$300.00
3531,,,,,,,,
,09/10/2024,Bill,,Grimes-Schulist,,Accounts Payable (A/P),,563.61
,09/10/2024,Bill,,Grimes-Schulist,,Depreciation,563.61,
Total for 3531,,,,,,,$563.61,$563.61
3547,,,,,,,,
,09/10/2024,Expense,,,,Savings,,35.65
,09/10/2024,Expense,,,,Job Expenses:Job Materials:Sprinklers and Drip Systems,35.65,
Total for 3547,,,,,,,$35.65,$35.65
3574,,,,,,,,
,09/10/2024,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Savings,,792.41
,09/10/2024,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),792.41,
Total for 3574,,,,,,,$792.41,$792.41
3536,,,,,,,,
,09/11/2024,Bill,,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),,"1,590.73"
,09/11/2024,Bill,,"D'Amore, Brakus and Koch",,Automobile,"1,590.73",
Total for 3536,,,,,,,"$1,590.73","$1,590.73"
3501,,,,,,,,
,09/12/2024,Invoice,2073,Shanahan LLC,,Accounts Receivable (A/R),150.00,
,09/12/2024,Invoice,2073,Shanahan LLC,,Design income,,150.00
Total for 3501,,,,,,,$150.00,$150.00
3555,,,,,,,,
,09/12/2024,Payment,,Mayert-Lehner,,Undeposited Funds,140.00,
,09/12/2024,Payment,,Mayert-Lehner,,Accounts Receivable (A/R),,140.00
Total for 3555,,,,,,,$140.00,$140.00
3568,,,,,,,,
,09/12/2024,Payment,,"Lehner, Hane and Borer",,Undeposited Funds,655.39,
,09/12/2024,Payment,,"Lehner, Hane and Borer",,Accounts Receivable (A/R),,655.39
Total for 3568,,,,,,,$655.39,$655.39
3577,,,,,,,,
,09/13/2024,Bill Payment (Check),,Kessler Inc,,Savings,,493.92
,09/13/2024,Bill Payment (Check),,Kessler Inc,,Accounts Payable (A/P),493.92,
Total for 3577,,,,,,,$493.92,$493.92
3592,,,,,,,,
,09/13/2024,Deposit,,,,Savings,"10,899.53",
,09/13/2024,Deposit,,,,Landscaping Services,,"10,899.53"
Total for 3592,,,,,,,"$10,899.53","$10,899.53"
3506,,,,,,,,
,09/14/2024,Sales Receipt,2077,"Stokes, Murray and Wolff",,Undeposited Funds,35.00,
,09/14/2024,Sales Receipt,2077,"Stokes, Murray and Wolff",,Landscaping Services,,35.00
Total for 3506,,,,,,,$35.00,$35.00
3513,,,,,,,,
,09/15/2024,Sales Receipt,2084,Morar-Ernser,,Undeposited Funds,0.00,
,09/15/2024,Sales Receipt,2084,Morar-Ernser,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 3513,,,,,,,$0.00,
3546,,,,,,,,
,09/15/2024,Expense,,,,Savings,,"1,285.32"
,09/15/2024,Expense,,,,Automobile,"1,285.32",
Total for 3546,,,,,,,"$1,285.32","$1,285.32"
3594,,,,,,,,
,09/15/2024,Transfer,,,,Checking,,"7,813.74"
,09/15/2024,Transfer,,,,Savings,"7,813.74",
Total for 3594,,,,,,,"$7,813.74","$7,813.74"
3512,,,,,,,,
,09/16/2024,Sales Receipt,2083,Kub and Sons,,Undeposited Funds,75.00,
,09/16/2024,Sales Receipt,2083,Kub and Sons,,Design income,,75.00
Total for 3512,,,,,,,$75.00,$75.00
3527,,,,,,,,
,09/16/2024,Bill,,Kessler Inc,,Accounts Payable (A/P),,804.33
,09/16/2024,Bill,,Kessler Inc,,Commissions & fees,804.33,
Total for 3527,,,,,,,$804.33,$804.33
3544,,,,,,,,
,09/16/2024,Expense,,,,Savings,,126.20
,09/16/2024,Expense,,,,Taxes & Licenses,126.20,
Total for 3544,,,,,,,$126.20,$126.20
3600,,,,,,,,
,09/16/2024,Journal Entry,,,,Maintenance and Repair:Computer Repairs,"2,122.75",
,09/16/2024,Journal Entry,,,,Checking,,"2,122.75"
Total for 3600,,,,,,,"$2,122.75","$2,122.75"
3484,,,,,,,,
,09/17/2024,Invoice,2057,Baumbach-Botsford,,Accounts Receivable (A/R),0.00,
,09/17/2024,Invoice,2057,Baumbach-Botsford,,Services,0.00,
Total for 3484,,,,,,,$0.00,
3510,,,,,,,,
,09/17/2024,Sales Receipt,2081,Bahringer Inc,,Undeposited Funds,35.00,
,09/17/2024,Sales Receipt,2081,Bahringer Inc,,Landscaping Services,,35.00
Total for 3510,,,,,,,$35.00,$35.00
3530,,,,,,,,
,09/17/2024,Bill,,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),,"1,857.32"
,09/17/2024,Bill,,"Kozey, Cruickshank and Prohaska",,Purchases,"1,857.32",
Total for 3530,,,,,,,"$1,857.32","$1,857.32"
3576,,,,,,,,
,09/17/2024,Bill Payment (Check),,Murray Group,,Savings,,"1,207.96"
,09/17/2024,Bill Payment (Check),,Murray Group,,Accounts Payable (A/P),"1,207.96",
Total for 3576,,,,,,,"$1,207.96","$1,207.96"
3584,,,,,,,,
,09/17/2024,Credit Memo,2089,Bergstrom LLC,,Accounts Receivable (A/R),0.00,
,09/17/2024,Credit Memo,2089,Bergstrom LLC,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 3584,,,,,,,$0.00,
3572,,,,,,,,
,09/18/2024,Bill Payment (Check),,Hahn Group,,Savings,,"1,896.22"
,09/18/2024,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),"1,896.22",
Total for 3572,,,,,,,"$1,896.22","$1,896.22"
3580,,,,,,,,
,09/18/2024,Bill Payment (Check),,Hirthe-West,,Checking,,"1,884.75"
,09/18/2024,Bill Payment (Check),,Hirthe-West,,Accounts Payable (A/P),"1,884.75",
Total for 3580,,,,,,,"$1,884.75","$1,884.75"
3596,,,,,,,,
,09/18/2024,Journal Entry,,,,Maintenance and Repair:Computer Repairs,"1,476.59",
,09/18/2024,Journal Entry,,,,Savings,,"1,476.59"
Total for 3596,,,,,,,"$1,476.59","$1,476.59"
3597,,,,,,,,
,09/18/2024,Journal Entry,,,,Maintenance and Repair:Equipment Repairs,919.49,
,09/18/2024,Journal Entry,,,,Checking,,919.49
Total for 3597,,,,,,,$919.49,$919.49
3543,,,,,,,,
,09/19/2024,Expense,,,,Checking,,503.06
,09/19/2024,Expense,,,,Insurance:Workers Compensation,503.06,
Total for 3543,,,,,,,$503.06,$503.06
3556,,,,,,,,
,09/19/2024,Payment,,Morar-Ernser,,Undeposited Funds,615.43,
,09/19/2024,Payment,,Morar-Ernser,,Accounts Receivable (A/R),,615.43
Total for 3556,,,,,,,$615.43,$615.43
3559,,,,,,,,
,09/19/2024,Payment,,Welch Inc,,Undeposited Funds,453.24,
,09/19/2024,Payment,,Welch Inc,,Accounts Receivable (A/R),,453.24
Total for 3559,,,,,,,$453.24,$453.24
3593,,,,,,,,
,09/19/2024,Deposit,,,,Checking,"4,161.21",
,09/19/2024,Deposit,,,,Billable Expense Income,,"4,161.21"
Total for 3593,,,,,,,"$4,161.21","$4,161.21"
3494,,,,,,,,
,09/20/2024,Invoice,2066,"Lindgren, Wiegand and White",,Accounts Receivable (A/R),0.00,
,09/20/2024,Invoice,2066,"Lindgren, Wiegand and White",,Landscaping Services:Labor:Maintenance and Repair,0.00,
,09/20/2024,Invoice,2066,"Lindgren, Wiegand and White",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 3494,,,,,,,$0.00,
3566,,,,,,,,
,09/20/2024,Payment,,Greenholt-Cassin,,Undeposited Funds,742.81,
,09/20/2024,Payment,,Greenholt-Cassin,,Accounts Receivable (A/R),,742.81
Total for 3566,,,,,,,$742.81,$742.81
3567,,,,,,,,
,09/20/2024,Payment,,"Thiel, Keeling and O'Keefe",,Undeposited Funds,915.00,
,09/20/2024,Payment,,"Thiel, Keeling and O'Keefe",,Accounts Receivable (A/R),,915.00
Total for 3567,,,,,,,$915.00,$915.00
3582,,,,,,,,
,09/20/2024,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Checking,,342.70
,09/20/2024,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),342.70,
Total for 3582,,,,,,,$342.70,$342.70
3516,,,,,,,,
,09/21/2024,Sales Receipt,2087,"Lindgren, Wiegand and White",,Undeposited Funds,35.00,
,09/21/2024,Sales Receipt,2087,"Lindgren, Wiegand and White",,Landscaping Services,,35.00
Total for 3516,,,,,,,$35.00,$35.00
3526,,,,,,,,
,09/21/2024,Bill,,Hirthe-West,,Accounts Payable (A/P),,586.91
,09/21/2024,Bill,,Hirthe-West,,Travel Meals,586.91,
Total for 3526,,,,,,,$586.91,$586.91
3540,,,,,,,,
,09/21/2024,Expense,,,,Checking,,536.19
,09/21/2024,Expense,,,,Legal & Professional Fees:Lawyer,536.19,
Total for 3540,,,,,,,$536.19,$536.19
3588,,,,,,,,
,09/21/2024,Deposit,,,,Savings,"63,788.02",
,09/21/2024,Deposit,,,,Sales of Product Income,,"63,788.02"
Total for 3588,,,,,,,"$63,788.02","$63,788.02"
3514,,,,,,,,
,09/22/2024,Sales Receipt,2085,Ebert-Krajcik,,Undeposited Funds,0.00,
,09/22/2024,Sales Receipt,2085,Ebert-Krajcik,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 3514,,,,,,,$0.00,
3529,,,,,,,,
,09/22/2024,Bill,,Bashirian and Sons,,Accounts Payable (A/P),,"2,323.73"
,09/22/2024,Bill,,Bashirian and Sons,,Legal & Professional Fees:Accounting,"2,323.73",
Total for 3529,,,,,,,"$2,323.73","$2,323.73"
3578,,,,,,,,
,09/22/2024,Bill Payment (Check),,Kessler Inc,,Checking,,"1,857.43"
,09/22/2024,Bill Payment (Check),,Kessler Inc,,Accounts Payable (A/P),"1,857.43",
Total for 3578,,,,,,,"$1,857.43","$1,857.43"
3586,,,,,,,,
,09/22/2024,Vendor Credit,,Grimes-Schulist,,Accounts Payable (A/P),108.41,
,09/22/2024,Vendor Credit,,Grimes-Schulist,,Job Expenses:Permits,,108.41
Total for 3586,,,,,,,$108.41,$108.41
3590,,,,,,,,
,09/22/2024,Deposit,,,,Savings,"11,276.44",
,09/22/2024,Deposit,,,,Landscaping Services,,"11,276.44"
Total for 3590,,,,,,,"$11,276.44","$11,276.44"
3554,,,,,,,,
,09/23/2024,Payment,,"Mohr, Haag and Labadie",,Undeposited Funds,513.14,
,09/23/2024,Payment,,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),,513.14
Total for 3554,,,,,,,$513.14,$513.14
3563,,,,,,,,
,09/23/2024,Payment,,Ebert-Krajcik,,Undeposited Funds,35.00,
,09/23/2024,Payment,,Ebert-Krajcik,,Accounts Receivable (A/R),,35.00
Total for 3563,,,,,,,$35.00,$35.00
3575,,,,,,,,
,09/24/2024,Bill Payment (Check),,Blanda LLC,,Savings,,746.14
,09/24/2024,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),746.14,
Total for 3575,,,,,,,$746.14,$746.14
3509,,,,,,,,
,09/25/2024,Sales Receipt,2080,Rice-Block,,Undeposited Funds,75.00,
,09/25/2024,Sales Receipt,2080,Rice-Block,,Design income,,75.00
Total for 3509,,,,,,,$75.00,$75.00
3579,,,,,,,,
,09/25/2024,Bill Payment (Check),,Schamberger-Schamberger,,Checking,,"1,185.13"
,09/25/2024,Bill Payment (Check),,Schamberger-Schamberger,,Accounts Payable (A/P),"1,185.13",
Total for 3579,,,,,,,"$1,185.13","$1,185.13"
3492,,,,,,,,
,09/26/2024,Invoice,2064,"Romaguera, Heller and Mertz",,Accounts Receivable (A/R),0.00,
,09/26/2024,Invoice,2064,"Romaguera, Heller and Mertz",,Landscaping Services,0.00,
Total for 3492,,,,,,,$0.00,
3517,,,,,,,,
,09/26/2024,Sales Receipt,2088,Mohr-Koch,,Undeposited Funds,0.00,
,09/26/2024,Sales Receipt,2088,Mohr-Koch,,Landscaping Services,0.00,
Total for 3517,,,,,,,$0.00,
3524,,,,,,,,
,09/27/2024,Bill,,Schamberger-Schamberger,,Accounts Payable (A/P),,200.53
,09/27/2024,Bill,,Schamberger-Schamberger,,Penalties & Settlements,200.53,
Total for 3524,,,,,,,$200.53,$200.53
3537,,,,,,,,
,09/27/2024,Bill,,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),,786.01
,09/27/2024,Bill,,"D'Amore, Brakus and Koch",,Automobile,786.01,
Total for 3537,,,,,,,$786.01,$786.01
3557,,,,,,,,
,09/27/2024,Payment,,Fadel-Oberbrunner,,Undeposited Funds,355.35,
,09/27/2024,Payment,,Fadel-Oberbrunner,,Accounts Receivable (A/R),,355.35
Total for 3557,,,,,,,$355.35,$355.35
3491,,,,,,,,
,09/28/2024,Invoice,2063,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),70.00,
,09/28/2024,Invoice,2063,"Lynch, Ziemann and Wehner",,Landscaping Services,,70.00
Total for 3491,,,,,,,$70.00,$70.00
3565,,,,,,,,
,09/28/2024,Payment,,Mayert-Lehner,,Undeposited Funds,823.57,
,09/28/2024,Payment,,Mayert-Lehner,,Accounts Receivable (A/R),,823.57
Total for 3565,,,,,,,$823.57,$823.57
3569,,,,,,,,
,09/28/2024,Payment,,Lind-Willms,,Undeposited Funds,90.00,
,09/28/2024,Payment,,Lind-Willms,,Accounts Receivable (A/R),,90.00
Total for 3569,,,,,,,$90.00,$90.00
3583,,,,,,,,
,09/28/2024,Bill Payment (Check),,Marquardt-Erdman,,Checking,,"2,052.41"
,09/28/2024,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),"2,052.41",
Total for 3583,,,,,,,"$2,052.41","$2,052.41"
3595,,,,,,,,
,09/28/2024,Transfer,,,,Checking,,"2,035.24"
,09/28/2024,Transfer,,,,Savings,"2,035.24",
Total for 3595,,,,,,,"$2,035.24","$2,035.24"
3496,,,,,,,,
,09/29/2024,Invoice,2068,Skiles Inc,,Accounts Receivable (A/R),0.00,
,09/29/2024,Invoice,2068,Skiles Inc,,Other Income,0.00,
,09/29/2024,Invoice,2068,Skiles Inc,,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 3496,,,,,,,$0.00,
3511,,,,,,,,
,09/29/2024,Sales Receipt,2082,Shanahan LLC,,Undeposited Funds,75.00,
,09/29/2024,Sales Receipt,2082,Shanahan LLC,,Design income,,75.00
Total for 3511,,,,,,,$75.00,$75.00
3570,,,,,,,,
,09/29/2024,Payment,,"Romaguera, Heller and Mertz",,Undeposited Funds,421.57,
,09/29/2024,Payment,,"Romaguera, Heller and Mertz",,Accounts Receivable (A/R),,421.57
Total for 3570,,,,,,,$421.57,$421.57
3485,,,,,,,,
,09/30/2024,Invoice,2058,"Crooks, Pollich and Mertz",,Accounts Receivable (A/R),285.00,
,09/30/2024,Invoice,2058,"Crooks, Pollich and Mertz",,Design income,,225.00
,09/30/2024,Invoice,2058,"Crooks, Pollich and Mertz",,Landscaping Services:Job Materials:Plants and Soil,,60.00
Total for 3485,,,,,,,$285.00,$285.00
3498,,,,,,,,
,09/30/2024,Invoice,2070,Huels Group,,Accounts Receivable (A/R),175.00,
,09/30/2024,Invoice,2070,Huels Group,,Pest Control Services,,175.00
,09/30/2024,Invoice,2070,Huels Group,,Landscaping Services,0.00,
,09/30/2024,Invoice,2070,Huels Group,,Services,0.00,
Total for 3498,,,,,,,$175.00,$175.00
3504,,,,,,,,
,09/30/2024,Invoice,2075,Johnston-Berge,,Accounts Receivable (A/R),0.00,
,09/30/2024,Invoice,2075,Johnston-Berge,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,09/30/2024,Invoice,2075,Johnston-Berge,,Services,0.00,
,09/30/2024,Invoice,2075,Johnston-Berge,,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 3504,,,,,,,$0.00,
3528,,,,,,,,
,09/30/2024,Bill,,Schroeder-Carroll,,Accounts Payable (A/P),,170.29
,09/30/2024,Bill,,Schroeder-Carroll,,Job Expenses:Cost of Labor,170.29,
